train-1	appella
train-2	approva
train-3	attenda
train-4	elenka
train-5	esponew
train-6	esperjenza
train-7	eżamina
train-8	fetaħ
train-9	feraħ
train-10	għażel
train-11	idaħħal
train-12	iddiskuta
train-13	igawdu
train-14	ikkawżat
train-15	ilaħħaq
train-16	indirizza
train-17	informa
train-18	ippreżenta
train-19	iqajjem
train-20	iqassmu
train-21	irreġistra
train-22	iżid
train-23	jgħin
train-24	jesprimi
train-25	jibni
train-26	saritilhom
train-27	rċevew
train-28	tavża
train-29	tgħin
train-30	timmanifattura
train-31	 tnedi
train-32	 torbot
train-33	trawwem
train-34	waddbu
train-35	ħatar
