train-1	awgura
train-2	ddiskuta
train-3	esegwew
train-4	esperjenzaw
train-5	esponew
train-6	esebizzjonijiet
train-7	esprima
train-8	esprimew
train-9	faħħar
train-10	feraħ
train-11	fetaħ
train-12	għamel
train-13	idaħħal
train-14	inkoraġġixxa
train-15	ippreżenta
train-16	ippreparat
train-17	ipproponiet
train-18	jagħmel
train-19	jeħtieġu
train-20	jiddiskutu
train-21	jiffaċilita
train-22	jiddelinjaw
train-23	jiċħad
train-24	jitratta
train-25	juru
train-26	mexxa
train-27	kkwota
train-28	naddfu
train-29	ppubblikat
train-30	rringrazzja
train-31	rrikonoxxa
train-32	saritilhom
train-33	rċevew
train-34	skambjaw
train-35	tagħti
train-36	tavża
train-37	tgħin
train-38	jieħdu
train-39	tinforma
train-40	tilqa'
train-41	tippreżenta
train-42	tinvolvi
train-43	tipprovdi
train-44	ħabbar
train-45	ħeġġeġ
train-46	ħeġġeġ
train-47	toffri
train-48	żaru
train-49	jipproduċu
train-50	jinkoraġġixxi
